,Entity,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Daily tests,Cases,Deaths,Population density per km2,Gini
0,Albania,14,0.4608978427565479,0.11058971029924898,3.7286134692892414,6.4584047024954865,38,14,3.249931756634195,4.559248104088254,2.8870543780509568,1.9997827984541356,34.5
1,Algeria,25,0.2787536009528289,0.26245108973042947,3.5992278627737964,7.616140783871544,29,6,0.0,4.904001049123167,3.375114684692225,1.2392994791268925,35.3
2,Argentina,14,0.6989700043360189,0.5921767573958668,3.996174437675204,7.646119734204739,31,11,4.385391754215386,6.148379589781004,4.582245228275298,1.2019430634016501,44.5
3,Armenia,11,0.6232492903979004,0.4471580313422192,3.6648957098836474,6.4669343157502786,35,11,0.0,5.121710819802993,3.3201462861110542,1.9935684827897275,30.9
4,Australia,22,0.5843312243675308,0.5440680443502757,4.740838573348442,7.390916269613052,37,16,0.0,4.445386223032164,2.957607287060095,0.505149978319906,30.5
5,Austria,8,0.8674674878590515,0.7185016888672743,4.700164407400037,6.944937061719929,44,19,4.432135157757712,5.432956470183859,3.4602963267574753,2.021313365484695,26.0
6,Bahrain,27,0.3010299956639812,-0.036212172654444715,4.371141778446181,6.173938781818107,32,2,4.0930011966847495,4.937091412117531,2.5327543789924976,3.2868851631934914,37.85
7,Bangladesh,25,-0.09691001300805639,-0.3279021420642826,3.26850776774735,8.21661382879752,27,5,4.214260866777542,5.661539154742885,3.8158432906632664,3.0476174937593297,32.1
8,Belarus,8,1.0413926851582251,0.60959440922522,3.8236893668343317,6.9780834634256115,40,15,0.0,5.119364779257369,3.055378331375,1.6608654780038692,26.5
9,Belgium,10,0.7512791039833423,0.47856649559384334,4.66671168510407,7.055839447917497,41,19,4.527578349505393,5.756506028598264,4.213225472773401,2.5711379358400848,33.0
10,Bhutan,13,0.2304489213782739,-0.42021640338318983,3.5206407149654186,5.90720168783219,28,6,2.9237619608287004,2.59659709562646,0.0,1.3228392726863212,38.1
11,Bolivia,20,0.04139268515822508,-0.3279021420642826,3.5504851836935183,7.043425157737735,25,7,3.100370545117563,5.159849813729301,3.9514832307522934,1.0025979807199086,56.3
12,Bosnia and Herzegovina,12,0.5440680443502757,0.2764618041732441,3.78593457821307,6.544937871096301,42,16,3.5024271199844326,4.931615489962869,3.4051755462179893,1.8355637516690968,36.2
13,Bulgaria,13,0.8721562727482929,0.6020599913279624,3.9924695667363346,6.849787271855997,44,21,3.9587071910872846,5.145988418583677,3.5658478186735176,1.8044801891059927,28.2
14,Canada,-1,0.3979400086720376,0.40483371661993806,4.664592151036827,7.564761705009018,41,17,5.009569864291946,5.559432590626412,4.078746734273607,0.5658478186735176,32.6
15,Cape Verde,24,0.3222192947339193,-0.10237290870955855,3.5567606809456107,5.737501152622577,25,5,2.6263403673750423,4.026369811573718,2.0211892990699383,2.1318751879725926,50.5
16,Chile,9,0.3242824552976926,0.012837224705172217,4.173084240946387,7.256590901924242,35,12,4.590239778308967,5.738180215044324,4.184066505691661,1.3780343224573315,52.1
17,Colombia,25,0.23299611039215382,0.2600713879850748,3.808123159563867,7.690777246764327,32,8,4.70831040020233,6.110761374186352,4.558876497255136,1.6331653536839033,55.9
18,Costa Rica,26,0.05307844348341968,0.06069784035361165,4.087916226870593,6.690707094545615,33,10,3.468495024507069,5.137015280179847,3.2278867046136734,1.9822712330395684,50.7
19,Croatia,13,0.7435097647284298,0.49554433754644844,4.174237212634033,6.615497645090984,44,20,4.044970705292769,5.078115919007799,3.2041199826559246,1.8627275283179747,33.7
20,Cuba,26,0.7160033436347992,0.8762178405916422,3.9455572076159355,7.060117234994991,43,15,4.006337660374551,3.909020854211156,2.123851640967086,2.019199401055288,37.85
21,Cyprus,20,0.5314789170422551,0.3979400086720376,4.444956169836508,6.071716723127289,37,14,4.113609151073028,3.9992610711131005,1.6812412373755872,2.105544245746573,37.85
22,Denmark,8,0.3979400086720376,0.5634810853944107,4.779382176823545,6.761145930860928,42,20,4.856372368918982,4.887819773873405,2.9116901587538613,2.1284638910647606,24.0
23,Dominican Republic,26,0.2041199826559248,0.17318626841227402,3.918140469970513,7.032094632381495,27,7,0.0,5.151605782446044,3.366236123718293,2.3448243879897603,47.2
24,Ecuador,22,0.17609125905568124,0.22010808804005508,3.791255434936629,7.220757944496658,28,7,3.7296506683359203,5.2776871282243425,4.125741439128715,1.8104341559226726,49.3
25,El Salvador,25,0.11394335230683679,0.2041199826559248,3.6219340771265283,6.804674505182175,27,8,0.0,4.584387769446955,3.042181594515766,2.481614592266937,48.3
26,Estonia,6,0.6711728427150833,0.5352941200427705,4.375175100885558,6.119084249642804,42,20,3.760497875226527,4.0539615073145,2.0170333392987803,1.4637437212470592,36.0
27,Ethiopia,24,-0.5228787452803376,-1.6989700043360187,2.932372282147914,8.021013221078436,19,4,3.7218930162149575,5.035181498976931,3.2268575702887237,1.9779064276371183,29.8
28,Fiji,25,0.36172783601759284,-0.07572071393811836,3.790700255300511,5.956889413885864,28,5,1.863322860120456,1.5797835966168101,0.3010299956639812,1.6951312977040258,42.8
29,Finland,4,0.5158738437116791,0.505149978319906,4.6882667240148255,6.741254288291056,42,22,4.335618349377605,4.375956092787937,2.5943925503754266,1.2116544005531824,26.9
30,France,13,0.7767011839884109,0.5105450102066121,4.607389606032767,7.826843199726882,42,20,5.342795619092466,6.352236560284334,4.7160033436347994,2.085290578230065,32.7
31,Ghana,27,-0.045757490560675115,-1.0,3.342837036916425,7.459899306123537,21,3,3.041392685158225,4.709481967073232,2.509202522331103,2.082354451330969,42.8
